ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	修正作業
108	対象文	モーティマーはある事実を思い出した	Mortimer remembered a fact					
108	情報源	モーティマーの発言	Mortimer's statement					
108	hasPredicate	思い出した	remember					
108	Who	モーティマー	Mortimer					
108	What	ある事実	fact			MOD		
109	対象文	カードの最中、モーティマーは窓に対して背を向けていた	During the card, Mortimer turned his back to the window					
109	情報源	モーティマーの発言	Mortimer's statement					
109	hasPredicate	背を向けていた	turningBack					
109	When	カードの最中	card game			MOD		
109	Who	モーティマー	Mortimer					
109	Opposite	窓	window				at the same time 25?	Opposite
110	対象文	モーティマーはジョージと向かい合わせに座っていた	Mortimer sat opposite George					
110	情報源	モーティマーの発言	Mortimer's statement					
110	hasPredicate	座っていた	sit					
110	Who	モーティマー	Mortimer					
110	What	ジョージ	George					
110	How	向かい合わせに	Face to face					Howに変更
111	対象文	一度、ジョージは窓に険しい視線を送った	Once, George sent a sharp glance at the window					
111	情報源	モーティマーの発言	Mortimer's statement					
111	hasPredicate	送った	send					
111	Who	ジョージ	George					
111	To	窓	window					
111	What	険しい視線	Steep eyes					
111	then	112	112					
112	対象文	モーティマーは振りかえった	Mortimer looked back					
112	情報源	モーティマーの発言	Mortimer's statement					
112	hasPredicate	振りかえった	lookBack					
112	Who	モーティマー	Mortimer					
113	対象文	窓は締まっていた	The window was closed					
113	情報源	モーティマーの発言	Mortimer's statement					
113	hasPredicate	締まっていた	beLocked					
113	Who	窓	window				at the same time 112?	
114	対象文	ブラインドはあがっていた	The blind was rising					
114	情報源	モーティマーの発言	Mortimer's statement					
114	hasPredicate	あがっていた	up					
114	Who	ブラインド	blind				at the same time 112?	
115	対象文	モーティマーは芝生の茂みを見た	Mortimer saw a bush of grass					
115	情報源	モーティマーの発言	Mortimer's statement					
115	hasPredicate	見た	see					
115	Who	モーティマー	Mortimer				at the same time 112?	
115	What	芝生の茂み	Bushes of grass			"「芝生」と「芝生の茂み」で「lawn」と「grass」の揺れ		
そもそも「芝生の茂み」という表現がわかりにくい？"	then 116?	
116	対象文	モーティマーは以下を感じた	Mortimer felt the following					
116	情報源	モーティマーの発言	Mortimer's statement					
116	hasPredicate	感じた	feel					
116	Who	モーティマー	Mortimer					
116	What	117	117					
117	対象文	何かが茂みの中を動いている	Something is moving in the bush					
117	情報源	モーティマーの推測	Mortimer's guess					
117	hasPredicate	動いている	moving					
117	Who	何か	something					
117	Where	茂みの中	bush			MOD		
118	対象文	ジョージは以下を思った	George thought that					
118	情報源	モーティマーの発言	Mortimer's statement					
118	hasPredicate	思った	think					
118	Who	ジョージ	George					
118	What	119	119					
119	対象文	何かが茂みの中にいる	Something is in the bush					
119	情報源	ジョージの推測	George's guess					
119	hasPredicate	いる	exist					
119	Who	何か	something					
119	Where	茂みの中	bush			MOD		
120	対象文	モーティマーは何かを確かめなかった	Mortimer didn't check something					
120	情報源	モーティマーの発言	Mortimer's statement					
120	hasPredicate	確かめなかった	notCheck					
120	Who	モーティマー	Mortimer					
120	What	何か	something					
121	対象文	モーティマーは以下を思った	Mortimer thought that					
121	情報源	モーティマーの発言	Mortimer's statement					
121	hasPredicate	思った	think					
121	Who	モーティマー	Mortimer					
121	What	122	122					
122	対象文	何かは重要ではない	Something is not important					
122	情報源	モーティマーの考え	Mortimer's thoughts					
122	hasProperty	重要ではない	notMatter					
122	Who	何か	something					
123	対象文	何かは嫌な気配を持たなかった	Something did not have an unpleasant sign					
123	情報源	モーティマーの発言	Mortimer's statement					
123	hasPredicate	持たなかった	notHave					
123	Who	何か	something					
123	What	嫌な気配	Disgusting sign					
124	対象文	今朝、モーティマーは散歩した	Mortimer took a walk this morning					
124	情報源	モーティマーの発言	Mortimer's statement					
124	hasPredicate	散歩した	takeAWalk					
124	Who	モーティマー	Mortimer					
124	When	今朝	this morning					
125	対象文	今朝、ドクター・リチャードの四輪馬車に追いつかれた	This morning, I was caught up by Dr. Richard's four-wheeled carriage					
125	情報源	モーティマーの発言	Mortimer's statement					
125	hasPredicate	追いつかれた	catch					
125	Who	モーティマー	Mortimer					
125	What	ドクター・リチャード	Doctor Richard					
125	When	今朝	this morning					
125	How	四輪馬車で	four-wheeled carriage					
126	対象文	ドクター・リチャードは以下を言った	Dr. Richard said					
126	情報源	モーティマーの発言	Mortimer's statement					
126	hasPredicate	言った	say					
126	Who	ドクター・リチャード	Doctor Richard					
126	What	127	127					
127	対象文	ポーターはモーティマーに緊急メッセージを伝えた	Porter sent an emergency message to Mortimer					
127	情報源	ドクターリチャードの発言	Doctor Richard's remark					
127	hasPredicate	伝えた	tell					
127	Who	ポーター	Porter					
127	Whom	モーティマー	Mortimer					
127	What	緊急メッセージ	Emergency message					
128	対象文	モーティマーはトリジェニス家に行った	Mortimer went to Trigenis					
128	情報源	モーティマーの発言	Mortimer's statement					
128	hasPredicate	行った	go					
128	Who	モーティマー	Mortimer					
128	To	トリジェニス家	House of Trigenis			MOD		
129	対象文	モーティマーとドクター・リチャードは部屋を調べた	Mortimer and Doctor Richard examined the room					
129	情報源	モーティマーの発言	Mortimer's statement					
129	hasPredicate	調べた	examine					
129	Who	モーティマー	Mortimer					
129	Who	ドクター・リチャード	Doctor Richard					
129	What	部屋	room					
130	対象文	何時間も前に、蝋燭と暖炉は燃え尽きた	Candles and fireplaces burned out hours ago					
130	情報源	モーティマーの発言	Mortimer's statement					
130	hasPredicate	燃え尽きた	burnOut					
130	Who	蝋燭	candle					
130	Who	暖炉	fireplace					
130	When	何時間も前	Many hours ago					
131	対象文	夜明けまで、オーウェンとジョージは座っていた	Owen and George sat until dawn					
131	情報源	モーティマーの発言	Mortimer's statement					
131	hasPredicate	座っていた	sit					
131	Who	オーウェン	Owen			MOD	"「と」は不要		
英訳も変更"	
131	Who	ジョージ	George					
131	When	夜明けまで	Until dawn					
132	対象文	ドクター・リチャードは以下を言った	Dr. Richard said					
132	情報源	モーティマーの発言	Mortimer's statement					
132	hasPredicate	言った	say					
132	Who	ドクター・リチャード	Doctor Richard					
132	What	以下	Less than				「以下」を具体的に	
133	対象文	ブレンダの死後、少なくとも6時間が経過している	At least six hours have passed since Brenda's death					
133	情報源	ドクター・リチャードの発言	Dr. Richard's remark					
133	hasPredicate	経過している	pass					
133	Who	6時間	6 hours				whoは変	
133	When	ブレンダの死後	After death of Brenda'					
134	対象文	ブレンダは乱暴されていない	Brenda is not violent					
134	情報源	モーティマーの発言	Mortimer's statement					
134	hasPredicate	乱暴されていない	notBeViolated					
134	Who	ブレンダ	Brenda					
135	対象文	ブレンダは恐怖の表情を持っていた	Brenda had a look of fear					
135	情報源	モーティマーの発言	Mortimer's statement					
135	hasPredicate	持っていた	have					
135	Who	ブレンダ	Brenda					
135	What	恐怖の表情	Expression of fear					
136	対象文	ジョージとオーウェンは歌を歌っていた	George and Owen were singing a song					
136	情報源	モーティマーの発言	Mortimer's statement					
136	hasPredicate	歌っていた	singing					
136	Who	ジョージ	George					
136	Who	オーウェン	Owen					
136	What	歌	song					
137	対象文	ジョージとオーウェンは意味不明なことを喋っていた	George and Owen were talking about something unclear					
137	情報源	モーティマーの発言	Mortimer's statement					
137	hasPredicate	喋っていた	talking					
137	Who	ジョージ	George					
137	Who	オーウェン	Owen					
137	What	意味不明なこと	Unintelligible thing					
138	対象文	オーウェンとジョージは猿に似ていた	Owen and George were like monkeys					
138	情報源	モーティマーの発言	Mortimer's statement					
138	hasPredicate	似ていた	similarTo					
138	Who	オーウェン	Owen					
138	Who	ジョージ	George					
138	What	猿	monkey					
139	対象文	ドクター・リチャードの顔は真っ青だった	Dr. Richard's face was deep blue					
139	情報源	モーティマーの発言	Mortimer's statement					
139	hasProperty	真っ青だった	blue					
139	Who	ドクター・リチャードの顔	face of Doctor Richard			MOD		
140	対象文	ドクター・リチャードは失神しかけた	Dr. Richard went fainting					
140	情報源	モーティマーの発言	Mortimer's statement					
140	hasPredicate	失神しかけた	fainting					
140	Who	ドクター・リチャード	Doctor Richard					
141	対象文	ドクター・リチャードは椅子に座った	Dr. Richard sat in a chair					
141	情報源	モーティマーの発言	Mortimer's statement					
141	hasPredicate	座った	sit					
141	Who	ドクター・リチャード	Doctor Richard					
141	What	椅子に	In the chair				"「に」は不要		
英訳も変更"	
142	対象文	1日目の朝、ホームズとワトソンとモーティマーは四輪馬車の走行音を聞いた	On the morning of the first day, Holmes, Watson and Mortimer heard the running noise of a four-wheeled carriage					
142	情報源							
142	hasPredicate	聞いた	hear					
142	Who	ワトソン	Watson					
142	Who	モーティマー	Mortimer					
142	Who	ホームズ	Holmes					
142	What	四輪馬車の走行音	Running noise of four-wheeled carriage			MOD		
142	When	1日目の朝	Morning of the first day				then 143?	
143	対象文	ホームズとワトソンとモーティマーは脇によけた	Holmes, Watson and Mortimer aside					
143	情報源							
143	hasPredicate	よけた	dodge					
143	Who	ワトソン	Watson					
143	Who	モーティマー	Mortimer					
143	Who	ホームズ	Holmes					
143	To	脇	side				then 144?	
144	対象文	ホームズとワトソンとモーティマーは馬車の通過を待った	Holmes, Watson and Mortimer waited for the carriage to pass					
144	情報源							
144	hasPredicate	待った	wait					
144	Who	ワトソン	Watson					
144	Who	モーティマー	Mortimer					
144	Who	ホームズ	Holmes					
144	What	馬車の通過	Passing of four-wheeled carriage			MOD	then 145?	
145	対象文	ホームズとワトソンとモーティマーは馬車とすれ違った	Holmes, Watson and Mortimer passed the carriage					
145	情報源							
145	hasPredicate	すれ違った	pass					
145	Who	ワトソン	Watson					
145	Who	モーティマー	Mortimer					
145	Who	ホームズ	Holmes					
145	What	馬車	four-wheeled carriage				then 146?	
146	対象文	ワトソンは窓から視線を感じた	Watson felt the sight from the window					
146	情報源							
146	hasPredicate	感じた	feel					
146	Who	ワトソン	Watson					
146	From	窓	window					From
146	What	視線	Gaze				at the same time 147,148?	
147	対象文	窓に、恐怖の顔があった	The window had a face of fear					
147	情報源							
147	hasPredicate	あった	exist					
147	Who	恐怖の顔	Face of fear					
147	Where	窓に	window				"「に」は不要		
英訳も変更"	
148	対象文	顔は薄ら笑いを持っていた	The face had a faint smile					
148	情報源							
148	hasPredicate	持っていた	have					
148	Who	顔	face					
148	What	薄ら笑い	Thin smile					
149	対象文	モーティマーは以下を言った	Mortimer said the following					
149	情報源							
149	hasPredicate	言った	say					
149	Who	モーティマー	Mortimer					
149	What	150	150					
150	対象文	オーウェンとジョージがヘルストンに連れていかれる	Owen and George are taken to Helston					
150	情報源	モーティマーの発言	Mortimer's statement					
150	hasPredicate	連れていかれる	beTaken					
150	Who	オーウェン	Owen					
150	Who	ジョージ	George					
150	Where	ヘルストン	Hellston					
151	対象文	トリジェニス家は広い	The Turgenis family is large					
151	情報源							
151	hasPredicate	広い	property				property?	
151	Who	トリジェニス家	House of Trigenis			MOD		
152	対象文	トリジェニス家は快適だ	The Trigenis are comfortable					
152	情報源							
152	hasPredicate	快適だ	comfortable				property?	
152	Who	トリジェニス家	House of Trigenis			MOD		
153	対象文	トリジェニス家は相当な庭を持つ	The Trigenis have a large garden					
153	情報源							
153	hasPredicate	持つ	have					
153	Who	トリジェニス家	House of Trigenis			MOD		
153	Who	相当な庭	large garden			MOD	「相当な」は曖昧？	
154	対象文	トリジェニス家の庭は草花で埋め尽くされていた	The Garden of the Trigenis was filled with flowers					
154	情報源							
154	hasPredicate	埋め尽くされていた	beFilled					
154	Who	トリジェニス家の庭	Garden of Trigenis					
154	What	草花で	With flowers				"「で」は不要		
英訳も変更"	
155	対象文	居間の窓は庭に面している	The window in the living room faces the garden					
155	情報源							
155	hasPredicate	面している	face					
155	Who	居間の窓	window of Living room			MOD	英訳	
155	To	庭	garden					To
156	対象文	モーティマーは以下を言った	Mortimer said the following					
156	情報源							
156	hasPredicate	言った	say					
156	Who	モーティマー	Mortimer					
156	What	157	157					
157	対象文	邪悪なものが窓から入ってきた	Evil things came in through the window					
157	情報源	モーティマーの発言	Mortimer's statement					
157	hasPredicate	入ってきた	enter					
157	Who	邪悪なもの	Evil thing					
157	From	窓	window					From
158	対象文	ポーターは以下を言った	The porter said					
158	情報源							
158	hasPredicate	言った	say					
158	Who	ポーター	Porter					
158	What	159-175	159-175					
159	対象文	昨日の夜、ポーターは何も聞こえなかった	The porter did not hear anything yesterday night					
159	情報源	ポーターの発言	Porter's statement					
159	hasPredicate	聞こえなかった	cannotHear					
159	Who	ポーター	Porter					
159	What	何も	nothing					
159	When	昨日の夜	Yesterday night					
160	対象文	オーウェンとジョージとブレンダは良い精神状態を持っていた	Owen and George and Brenda had a good mental state					
160	情報源	ポーターの発言	Porter's statement					
160	hasPredicate	持っていた	have					
160	Who	ジョージ	George					
160	Who	ブレンダ	Brenda					
160	Who	オーウェン	Owen					
160	What	良い精神状態	Good mental condition					
161	対象文	オーウェンとジョージとブレンダは良い機嫌を持っていた	Owen and George and Brenda had a good mood					
161	情報源	ポーターの発言	Porter's statement					
161	hasPredicate	持っていた	have					
161	Who	ジョージ	George					
161	Who	ブレンダ	Brenda					
161	Who	オーウェン	Owen					
161	What	良い機嫌	Good mood					
162	対象文	今朝、ポーターは部屋に入った	Porter entered the room this morning					
162	情報源	ポーターの発言	Porter's statement					
162	hasPredicate	入った	enter					
162	Who	ポーター	Porter					
162	To	部屋	room					To
162	When	今朝	this morning					
162	then	163	163					
163	対象文	ポーターは無惨な光景を見た	Porter saw a disastrous sight					
163	情報源	ポーターの発言	Porter's statement					
163	hasPredicate	見た	see					
163	Who	ポーター	Porter					
163	What	無惨な光景	Miserable sight					
163	then	164	164					
164	対象文	ポーターは倒れた	The porter fell					
164	情報源	ポーターの発言	Porter's statement					
164	hasPredicate	倒れた	fall					
164	Who	ポーター	Porter					
165	対象文	ポーターは意識を取り戻した	Porter regained consciousness					
165	情報源	ポーターの発言	Porter's statement					
165	hasPredicate	取り戻した	recover					
165	Who	ポーター	Porter					
165	What	意識	Consciousness				after 164?	
165	then	166	166					
166	対象文	ポーターは窓を開けた	Porter opened the window					
166	情報源	ポーターの発言	Porter's statement					
166	hasPredicate	開けた	open					
166	Who	ポーター	Porter					
166	What	窓	window					
166	then	167	167					
167	対象文	ポーターは小道を駆け下った	The porter ran down the path					
167	情報源	ポーターの発言	Porter's statement					
167	hasPredicate	駆け下った	run					
167	Who	ポーター	Porter					
167	What	小道	Path					
167	then	168	168					
168	対象文	ポーターはドクター・リチャードへ農家の少年を送った	Porter sent a farmer boy to Dr. Richard					
168	情報源	ポーターの発言	Porter's statement					
168	hasPredicate	送った	send					
168	Who	ポーター	Porter					
168	Whom	ドクター・リチャード	Doctor Richard					Whom
168	What	農家の少年	Farmer boy					
169	対象文	ブレンダは自分のベッドに寝かせている	Brenda is lying in his bed					
169	情報源	ポーターの発言	Porter's statement					
169	hasPredicate	寝かせている	lie					
169	Who	ブレンダ	Brenda					
169	Where	自分のベッド	My bed				「自分」を「ブレンダ」に変更	
170	対象文	精神病院の馬車にオーウェンとジョージを乗せた	I put Owen and George on a carriage in a mental hospital					
170	情報源	ポーターの発言	Porter's statement					
170	hasPredicate	乗せた	putOn					
170	Who	ポーター	Porter					
170	On	精神病院の馬車	four-wheeled carriage of mental hospital					
170	What	オーウェン	Owen					
170	What	ジョージ	George					
171	対象文	オーウェンとジョージのために4人の男が必要だった	I needed four men for Owen and George					
171	情報源	ポーターの発言	Porter's statement					
171	hasPredicate	必要だった	beNeeded					
171	Who	4人の男	Four men					
171	Why	オーウェンを運ぶ	Carry of Owen			MOD		Why
171	Why	ジョージを運ぶ	Carry of George			MOD		Why
172	対象文	ポーターは1日も家に留まる気を持たない	The porter doesn't feel like staying at home for a day					
172	情報源	ポーターの発言	Porter's statement					
172	hasPredicate	留まらない	notStay					
172	Who	ポーター	Porter					
172	Where	家	House					
172	When	これから	from now on					
174	対象文	ポーターはセント・アイヴスに帰る	Porter returns to St Ives					
174	情報源	ポーターの発言	Porter's statement					
174	hasPredicate	帰る	return					
174	Who	ポーター	Porter					
174	To	セント・アイヴス	St Ives					To
175	対象文	ホームズとワトソンとモーティマーは階段を上った	Holmes, Watson and Mortimer went up the stairs					
175	情報源							
175	hasPredicate	上った	go					
175	Who	ワトソン	Watson					
175	Who	モーティマー	Mortimer					
175	Who	ホームズ	Holmes					
175	What	階段	Stairs				then 176?	
176	対象文	ホームズとワトソンとモーティマーは死体を見た	Holmes, Watson and Mortimer saw the dead					
176	情報源							
176	hasPredicate	見た	see					
176	Who	ワトソン	Watson					
176	Who	モーティマー	Mortimer					
176	Who	ホームズ	Holmes					
176	What	死体	cadaver					
177	対象文	ブレンダは恐怖の表情を持っていた	Brenda had a look of fear					
177	情報源							
177	hasPredicate	持っていた	have					
177	Who	ブレンダ	Brenda					
177	What	恐怖の表情	Expression of fear					
178	対象文	ホームズとワトソンとモーティマーは居間に行った	Holmes, Watson and Mortimer went to the living room					
178	情報源							
178	hasPredicate	行った	go					
178	Who	ワトソン	Watson					
178	Who	モーティマー	Mortimer					
178	Who	ホームズ	Holmes					
178	To	居間	Living room					To
179	対象文	一晩中、暖炉は焚かれていた	The fireplace was open all night					
179	情報源							
179	hasPredicate	焚かれていた	beTurnedOn					
179	When	一晩中	All night					
179	Who	暖炉	fireplace					
180	対象文	黒焦げの灰が暖炉の中に残っていた	Burnt ashes remained in the fireplace					
180	情報源							
180	hasPredicate	残っていた	exist					
180	Who	黒焦げの灰	Charred ash					
180	Where	暖炉の中	Inside of fireplace			MOD		
181	対象文	テーブルに、燃えさしの蝋燭4本があった	At the table there were four burning candle					
181	情報源							
181	hasPredicate	あった	exist					
181	Who	燃えさしの蝋燭4本	Four burning candle					
181	On	テーブル	table					On
182	対象文	テーブルに、カードが散らばっていた	Cards were scattered on the table					
182	情報源							
182	hasPredicate	散らばっていた	beScattered					
182	On	テーブル	table					
182	Who	カード	card					
183	対象文	モーティマーは以下を言った	Mortimer said the following					
183	情報源							
183	hasPredicate	言った	say					
183	Who	モーティマー	Mortimer					
183	What	184-187	184-187					
184	対象文	昨日の晩は寒かった	It was cold yesterday night					
184	情報源	モーティマーの発言	Mortimer's statement					
184	hasProperty	寒かった	cold					
184	Who	昨日の晩	Yesterday evening				「昨日」を具体的にできるのであれば....	
184	therefore	185	185					
185	対象文	そのため、暖炉がつけられた	Therefore, the fireplace was turned on					前の文にtherefore
185	情報源	モーティマーの発言	Mortimer's statement					
185	hasPredicate	つけられた	beTurnedOn					
185	Who	暖炉	fireplace					
185	after	187	187					
187	対象文	あとに、モーティマーが到着した	Later, Mortimer arrived					after
187	情報源	モーティマーの発言	Mortimer's statement					
187	hasPredicate	到着した	arrive					
187	Who	モーティマー	Mortimer					
188	対象文	ホームズはポルドュー湾のコテージに帰った	Holmes returned to a cottage in the Gulf of Pordew					
188	情報源							
188	hasPredicate	帰った	return					
188	Who	ホームズ	Holmes					
188	To	ポルドュー湾のコテージ	cottage of Pordeux Bay			MOD		To
189	対象文	ホームズは沈黙した	Holmes was silent					
189	情報源							
189	hasPredicate	沈黙した	silence					
189	Who	ホームズ	Holmes					
190	対象文	ホームズは以下を推測する	guess of Holmeses					
190	情報源							
190	hasPredicate	推測する	guess					
190	Who	ホームズ	Holmes					
190	What	191,192,193	191, 192, 193					
191	対象文	ホームズとワトソンは以下を認めない	Holmes and Watson do not					
191	情報源	ホームズの推測	guess of Holmes				ホームズの考え？	
191	hasPredicate	認めない	notAdmit					
191	Who	ホームズ	Holmes					
191	Who	ワトソン	Watson					
191	What	192	192					
192	対象文	犯人は悪魔である	The criminal is a demon					
192	情報源	ホームズの推測	guess of Holmes					
192	hasPredicate	である	equalTo					
192	What	悪魔	Demon					
192	Who	犯人	Criminal					
193	対象文	オーウェンとジョージとブレンダは、人間の故意か過失のため苦しみを味わった	Owen, George, and Brenda have suffered from human intentional or negligence					
193	情報源	ホームズの推測	guess of Holmes					
193	hasPredicate	味わった	taste					
193	Who	ジョージ	George					
193	Who	ブレンダ	Brenda					
193	Who	オーウェン	Owen					
193	Why	人間の故意	Human intention				OR で繋げては？	Why
193	Why	過失	Negligence					Why
193	What	苦しみ	suffering					
194	対象文	ホームズは以下を推測した	guess of Holmesed the following					
194	情報源							
194	hasPredicate	推測した	guess					
194	Who	ホームズ	Holmes					
194	What	195-197	195-197					
195	対象文	モーティマーの話を真実だとする	Make Mortimer's Story True					
195	情報源	ホームズの推測	guess of Holmes				ホームズの考え？	
195	hasPredicate	する	assume				equalTo?	
195	What	モーティマーの話	Story of Mortimer			MOD		
195	What	真実だと	It's true				「だと」は不要	
196	対象文	モーティマーが部屋を出た	Mortimer left the room					
196	情報源	ホームズの推測	guess of Holmes					
196	hasPredicate	出た	go					
196	Who	モーティマー	Mortimer					
196	What	部屋	room					
196	then	197	197					
197	対象文	数分以内で、事件が起きた	Within a few minutes, an incident occurred					
197	情報源	ホームズの推測	guess of Holmes					
197	hasPredicate	起きた	happen					
197	Who	事件	Case 2				IF 195?	
197	When	数分以内	Within a few minutes				数分後でもよいかも	
198	対象文	カードがテーブルに散らばっていた	Cards were scattered on the table					
198	情報源							
198	hasPredicate	散らばっていた	beScattered					
198	Who	カード	card					
198	On	テーブル	table					
199	対象文	オーウェンとジョージとブレンダの就寝時間は越えていた	Owen, George and Brenda's bedtime was over					
199	情報源							
199	hasPredicate	越えていた	over					
199	Who	オーウェン	Owen					
199	Who	ジョージ	George					
199	Who	ブレンダ	Brenda					
199	What	就寝時間	Bedtime					
200	対象文	オーウェンとジョージとブレンダは姿勢を変えなかった	Owen, George, and Brenda did not change attitude					
200	情報源							
200	hasPredicate	変えなかった	notChange					
200	Who	ジョージ	George					
200	Who	ブレンダ	Brenda					
200	Who	オーウェン	Owen					
200	What	姿勢	posture					
201	対象文	オーウェンとジョージとブレンダは椅子を引かなかった	Owen, George and Brenda didn't pull the chair					
201	情報源							
201	hasPredicate	引かなかった	notDraw					
201	Who	ジョージ	George					
201	Who	ブレンダ	Brenda					
201	Who	オーウェン	Owen					
201	What	椅子	Chair					
202	対象文	ホームズは以下を推測した	guess of Holmesed the following					
202	情報源							
202	hasPredicate	推測した	guess					
202	Who	ホームズ	Holmes					
202	What	203	203					
203	対象文	昨夜11時以前に、事件が起きた	The incident happened before 11:00 last night					
203	情報源						ホームズの考え	
203	hasPredicate	起きた	happen					
203	Who	事件	Case 2					
203	When	昨夜11時以前	Before 11:00 last night					
204	対象文	モーティマーは牧師館に歩いてきた	Mortimer has walked to the pastor					
204	情報源							
204	hasPredicate	歩いてきた	walk					
204	Who	モーティマー	Mortimer					
204	To	牧師館	pastoral hall			MOD		
205	対象文	ポーターは犯人ではない	Porter is not a criminal					
205	情報源							
205	hasPredicate	ではない	notEqualTo					
205	Who	ポーター	Porter					
205	What	犯人	Criminal					
206	対象文	窓の下の花壇に足跡はない	There is no footprint on the flower bed under the window					
206	情報源							
206	hasPredicate	はない	notExist					
206	Where	窓の下の花壇に	flower bed of window			MOD	2文に分けては？	
206	What	足跡	Footprints				therefore 207?	
207	対象文	部外者は事件を起こせない	Outsiders can not make an incident					
207	情報源							
207	hasPredicate	起こせない	cannotMake					
207	Who	部外者	Outsider					
207	What	事件	Case 2					
208	対象文	部外者は事件の動機を持たない	Outsiders have no motive for the case					
208	情報源							
208	hasPredicate	持たない	notHave					
208	Who	部外者	Outsider					
208	What	事件の動機	Motivation of case			MOD	theは不要	
209	対象文	午後に、ホームズとワトソンはポルデュー湾のコテージに戻った	In the afternoon, Holmes and Watson returned to the Pordeux Bay cottage					
209	情報源							
209	hasPredicate	戻った	return					
209	Who	ホームズ	Holmes					
209	Who	ワトソン	Watson					
209	When	午後	afternoon					
209	Where	ポルデュー湾のコテージに	cottage of Pordeux Bay			MOD	"Toではない？		
「に」は不要"	
210	対象文	スタンデールがポルデュー湾のコテージにいた	Standale was in a cottage in the Pordeux Bay					
210	情報源							
210	hasPredicate	いた	exist					
210	Who	スタンデール	Standale					
210	Where	ポルデュー湾のコテージ	cottage of Pordeux Bay			MOD		
211	対象文	スタンデールはライオンハンターである	Standale is a lion hunter					
211	情報源							
211	hasPredicate	である	equalTo					
211	What	ライオンハンター	Lion hunter					
211	Who	スタンデール	Standale					
212	対象文	スタンデールは探険家である	Standale is an explorer					
212	情報源							
212	hasPredicate	である	equalTo					
212	What	探険家	Explorer					
212	Who	スタンデール	Standale					
213	対象文	コーンワルにおいて、スタンデールは隣人とつきあいを持たない	In Cornwall, Standale has no contact with his neighbors					
213	情報源							
213	hasPredicate	持たない	notHave					
213	Who	スタンデール	Standale					
213	Whom	隣人	neighbor					Whom
213	What	つきあい	Get along					
213	Where	コーンワル	Cornwall					
214	対象文	コーンワルにおいて、スタンデールは孤立している	Standale is isolated in Cornwall					
214	情報源							
214	hasPredicate	孤立している	beIsolated					
214	Who	スタンデール	Standale					
214	Where	コーンワル	Cornwall					
215	対象文	スタンデールがホームズに進展を聞いた	Standale heard Holmes progress					
215	情報源							
215	hasPredicate	聞いた	hear					
215	Who	スタンデール	Standale					
215	What	ホームズ	Holmes					
215	What	進展	Progress					
216	対象文	スタンデールは以下を言った	Standale said					
216	情報源							
216	hasPredicate	言った	say					
216	Who	スタンデール	Standale					
216	What	217-226	217-226					
217	対象文	スタンデールは地方警察を信用しない	Standale does not trust local police					
217	情報源	スタンデールの発言	Standale's remarks					
217	hasPredicate	信用しない	notTrust					
217	Who	スタンデール	Standale					
217	What	地方警察	Local police					
218	対象文	スタンデールはトリジェニス家に何度も滞在した	Standale stayed many times in the Trigemnis family					
218	情報源	スタンデールの発言	Standale's remarks					
218	hasPredicate	滞在した	stay					
218	Who	スタンデール	Standale					
218	How	何度も	Many times					
218	Where	トリジェニス家	House of Trigenis			MOD		
219	対象文	スタンデールはトリジェニス家と親しくなった	Standale gets close to the Trigenis family					
219	情報源	スタンデールの発言	Standale's remarks					
219	hasPredicate	親しくなった	becomeFamiliar					
219	Who	スタンデール	Standale					
219	What	トリジェニス家	House of Trigenis			MOD	「と」は不要	
220	対象文	スタンデールはショックを受けた	Standale was shocked					
220	情報源	スタンデールの発言	Standale's remarks					
220	hasPredicate	受けた	receive					
220	Who	スタンデール	Standale					
220	What	ショック	shock				whatは変	
221	対象文	スタンデールはオーウェンとジョージとブレンダの運命を聞いた	Standale heard the fate of Owen and George and Brenda					
221	情報源	スタンデールの発言	Standale's remarks					
221	hasPredicate	聞いた	hear					
221	Who	スタンデール	Standale					
221	What	オーウェンの運命	fate of Owen			MOD		
221	What	ジョージの運命	fate of George			MOD		
221	What	ブレンダの運命	fate of Brenda			MOD		
222	対象文	スタンデールはアフリカに向かっていた	Standale was headed for Africa					
222	情報源	スタンデールの発言	Standale's remarks					
222	hasPredicate	向かっていた	going					
222	Who	スタンデール	Standale					
222	To	アフリカ	Africa					To
223	対象文	スタンデールはプリマスまで着いた	Standale has arrived to Plymouth					
223	情報源	スタンデールの発言	Standale's remarks					
223	hasPredicate	着いた	arrive					
223	Who	スタンデール	Standale					
223	To	プリマス	Plymouth					
224	対象文	今朝、スタンデールはニュースを聞いた	This morning, Standale heard the news					
224	情報源	スタンデールの発言	Standale's remarks					
224	hasPredicate	聞いた	hear					
224	Who	スタンデール	Standale					
224	What	ニュース	news					
224	When	今朝	this morning					
225	対象文	スタンデールは帰ってきた	Standale is back					
225	情報源	スタンデールの発言	Standale's remarks					
225	hasPredicate	帰ってきた	return				then 226?	
225	Who	スタンデール	Standale				because 224?	
226	対象文	ラウンドヘイがスタンデールに電報を送った	Roundhay telegraphed Standale					
226	情報源	スタンデールの発言	Standale's remarks					
226	hasPredicate	送った	send					
226	Who	ラウンドヘイ	Roundhay					
226	Whoｍ	スタンデール	Standale					
226	What	電報	telegram					
227	対象文	スタンデールはホームズに容疑者を聞いた	Standale heard Holmes suspect					
227	情報源							
227	hasPredicate	聞いた	hear					
227	Who	スタンデール	Standale					
227	Whom	ホームズ	Holmes					
